WARNING 2026-05-20 14:28:25,704 basehttp 19024 6756 "GET /api/homepage/ HTTP/1.1" 404 5015
WARNING 2026-05-20 14:28:25,709 basehttp 19024 19196 "GET /api/site-config/footer/ HTTP/1.1" 404 5045
WARNING 2026-05-20 14:28:25,729 basehttp 19024 7152 "GET /api/categories/ HTTP/1.1" 404 5021
WARNING 2026-05-20 14:28:26,769 basehttp 19024 19108 "GET /api/delivery-charge/ HTTP/1.1" 404 5036
INFO 2026-05-20 14:28:26,783 basehttp 19024 19108 "GET /api/products/ HTTP/1.1" 200 349
INFO 2026-05-20 14:28:31,950 basehttp 19024 6140 "GET /api/products/ HTTP/1.1" 200 349
WARNING 2026-05-20 14:28:31,971 basehttp 19024 14076 "GET /api/categories/ HTTP/1.1" 404 5021
WARNING 2026-05-20 14:28:31,971 basehttp 19024 11936 "GET /api/homepage/ HTTP/1.1" 404 5015
WARNING 2026-05-20 14:28:31,972 basehttp 19024 15280 "GET /api/site-config/footer/ HTTP/1.1" 404 5045
INFO 2026-05-20 14:28:32,508 basehttp 19024 19108 "GET /api/products/ HTTP/1.1" 200 349
WARNING 2026-05-20 14:28:32,509 basehttp 19024 11968 "GET /api/delivery-charge/ HTTP/1.1" 404 5036
WARNING 2026-05-20 14:28:53,855 basehttp 19024 11292 "GET / HTTP/1.1" 404 4958
WARNING 2026-05-20 14:28:54,074 basehttp 19024 11292 "GET /favicon.ico HTTP/1.1" 404 5009
INFO 2026-05-20 14:28:59,566 basehttp 19024 11292 "GET /admin/ HTTP/1.1" 200 30565
INFO 2026-05-20 14:28:59,591 basehttp 19024 8176 "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2026-05-20 14:28:59,593 basehttp 19024 11292 "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2026-05-20 14:28:59,595 basehttp 19024 14364 "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2026-05-20 14:28:59,604 basehttp 19024 8176 "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2026-05-20 14:28:59,604 basehttp 19024 11292 "GET /static/admin/css/dashboard.css HTTP/1.1" 304 0
INFO 2026-05-20 14:28:59,604 basehttp 19024 14364 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2026-05-20 14:28:59,645 basehttp 19024 14364 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2026-05-20 14:28:59,664 basehttp 19024 11292 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
INFO 2026-05-20 14:28:59,664 basehttp 19024 14364 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
INFO 2026-05-20 14:31:21,117 views 19024 15828 CategoryViewSet.list called with params: <QueryDict: {}>
INFO 2026-05-20 14:31:21,128 basehttp 19024 10012 "GET /api/products/ HTTP/1.1" 200 349
WARNING 2026-05-20 14:31:21,143 basehttp 19024 15896 "GET /api/site-config/footer/ HTTP/1.1" 404 5045
WARNING 2026-05-20 14:31:21,149 basehttp 19024 4332 "GET /api/homepage/ HTTP/1.1" 404 5015
INFO 2026-05-20 14:31:21,153 views 19024 15828 Successfully returned 4 categories
INFO 2026-05-20 14:31:21,155 basehttp 19024 15828 "GET /api/products/categories/ HTTP/1.1" 200 52
INFO 2026-05-20 14:31:21,972 basehttp 19024 19108 "GET /api/products/ HTTP/1.1" 200 349
WARNING 2026-05-20 14:31:21,997 basehttp 19024 19108 "GET /api/delivery-charge/ HTTP/1.1" 404 5036
INFO 2026-05-20 14:31:31,195 views 19024 17636 CategoryViewSet.list called with params: <QueryDict: {}>
INFO 2026-05-20 14:31:31,196 basehttp 19024 18584 "GET /api/products/ HTTP/1.1" 200 349
WARNING 2026-05-20 14:31:31,225 basehttp 19024 20376 "GET /api/site-config/footer/ HTTP/1.1" 404 5045
WARNING 2026-05-20 14:31:31,225 basehttp 19024 4052 "GET /api/homepage/ HTTP/1.1" 404 5015
INFO 2026-05-20 14:31:31,229 views 19024 17636 Successfully returned 4 categories
INFO 2026-05-20 14:31:31,232 basehttp 19024 17636 "GET /api/products/categories/ HTTP/1.1" 200 52
INFO 2026-05-20 14:31:31,992 basehttp 19024 19108 "GET /api/products/ HTTP/1.1" 200 349
WARNING 2026-05-20 14:31:32,008 basehttp 19024 11968 "GET /api/delivery-charge/ HTTP/1.1" 404 5036
INFO 2026-05-20 14:33:11,166 views 19024 12788 CategoryViewSet.list called with params: <QueryDict: {}>
INFO 2026-05-20 14:33:11,167 basehttp 19024 5604 "GET /api/products/ HTTP/1.1" 200 349
WARNING 2026-05-20 14:33:11,190 basehttp 19024 16020 "GET /api/homepage/ HTTP/1.1" 404 5015
WARNING 2026-05-20 14:33:11,190 basehttp 19024 16016 "GET /api/site-config/footer/ HTTP/1.1" 404 5045
INFO 2026-05-20 14:33:11,192 views 19024 12788 Successfully returned 4 categories
INFO 2026-05-20 14:33:11,193 basehttp 19024 12788 "GET /api/products/categories/ HTTP/1.1" 200 52
INFO 2026-05-20 14:33:11,797 basehttp 19024 11968 "GET /api/products/ HTTP/1.1" 200 349
WARNING 2026-05-20 14:33:11,861 basehttp 19024 11968 "GET /api/delivery-charge/ HTTP/1.1" 404 5036
INFO 2026-05-20 14:33:29,084 views 19024 5588 CategoryViewSet.list called with params: <QueryDict: {}>
INFO 2026-05-20 14:33:29,090 views 19024 5588 Successfully returned 4 categories
INFO 2026-05-20 14:33:29,091 basehttp 19024 5588 "GET /api/products/categories/ HTTP/1.1" 200 52
